ID,Traditional,Simplified,Pinyin,POS,Meaning
L2-0180,乾,干,gān,Vs,to be dry
L2-0181,乾淨,干净,gānjìng,Vs,to be clean
L2-0182,感冒,感冒,gǎnmào,Vs,"to have a cold; cold, flu"
L2-0183,剛剛,刚刚,gānggāng,Adv,just now
L2-0184,高,高,gāo,Vs,"to be tall, to be high"
L2-0185,高興,高兴,gāoxìng,Vs,to be happy
L2-0186,告訴,告诉,gàosù,V,"to tell, to inform"
L2-0187,個,个,gè,M,individual measure word for persons and material things.
L2-0188,歌,歌,gē,N,song
L2-0188,歌兒,歌儿,gēr,N,song
L2-0189,哥哥,哥哥,gēge,N,elder brother
L2-0190,給,给,gěi,V/Prep,"to give/for, for the benefit of, by (in passive cons.)"
L2-0191,跟,跟,gēn,Conj/Prep,with/and
L2-0192,更,更,gèng,Adv,"even more, still more"
L2-0193,公車,公车,gōngchē,N,city bus
L2-0194,公共汽車,公共汽车,gōnggòngqìchē,N,city bus
L2-0195,功課,功课,gōngkè,N,"schoolwork, homework"
L2-0196,公司,公司,gōngsī,N,company
L2-0197,恭喜,恭喜,gōngxǐ,Vs,to congratulate
L2-0198,公寓,公寓,gōngyù,N,apartment building
L2-0199,公園,公园,gōngyuán,N,park
L2-0200,工作,工作,gōngzuò,N/V,work/to work
L2-0201,狗,狗,gǒu,N,dog
L2-0202,夠,够,gòu,Vs,to be enough
L2-0202,夠了,够了,gòule,Vs,to be enough
L2-0203,故事,故事,gùshì,N,story
L2-0204,掛,挂,guà,V,to hang
L2-0205,乖,乖,guāi,Vs,well-behaved
L2-0206,關,关,guān,V,to close; to turn off
L2-0207,關上,关上,guānshàng,V,"to close, to shut; to turn off"
L2-0208,貴,贵,guì,Vs,to be expensive
L2-0209,國,国,guó,N,"nation, country"
L2-0209,國家,国家,guójiā,N,"nation, country"
L2-0210,果汁,果汁,guǒzhī,N,fruit juice
L2-0211,過,过,guò,,"V: to pass, P: a suffix indicating completion of an action, or completion of an action as an experience"
L2-0212,過來,过来,guòlái,V,"come over/up, come here"
L2-0213,過年,过年,guònián,V,to celebrate the Chinese New Year
L2-0214,過去,过去,guòqù,N/V,"in the past, formerly/go over, pass by"
L2-0215,還,还,hái,Adv,"still, yet"
L2-0216,還是,还是,háishì,Conj,or
L2-0217,孩子,孩子,háizi,N,child
L2-0217,孩,孩,hái,N,child
L2-0218,海,海,hǎi,N,"ocean, sea"
L2-0218,海邊,海边,hǎibiān,N,"ocean, sea"
L2-0219,害怕,害怕,hàipà,Vs,be afraid / scared
L2-0220,韓國,韩国,Hánguó,N,the Republic of Korea
L2-0221,寒假,寒假,hánjià,N,winter vacation
L2-0222,漢堡,汉堡,hànbǎo,N,hamburger
L2-0222,漢堡包,汉堡包,hànbǎobāo,N,hamburger
L2-0223,漢語,汉语,Hànyǔ,N,Chinese / Sinitic language(s)
L2-0224,漢字,汉字,hànzì,N,"Ch. character, sinograph"
L2-0225,好,好,hǎo,Adv/Vs,"very, quite/to be good, well"
L2-0226,好吃,好吃,hǎochī,Vs,to be fond of eating
L2-0227,好看,好看,hǎokàn,Vs,to be good-looking
L2-0228,好像,好像,hǎoxiàng,Adv,"to seem, to be likely, to be like"
L2-0229,好玩,好玩,hǎowán,Vs,"to be interesting, to be full of fun"
L2-0229,好玩兒,好玩儿,hǎowánr,Vs,"to be interesting, to be full of fun"
L2-0230,號,号,hào,M,measure word for numbers and dates.
L2-0231,號碼,号码,hàomǎ,N,number
L2-0232,喝,喝,hē,V,to drink
L2-0233,和,和,hé,Conj,and
L2-0234,河,河,hé,N,river
L2-0235,盒子,盒子,hézi,N,"box, case"
L2-0235,盒,盒,hé,N,"box, case"
L2-0236,黑,黑,hēi,N/Vs,black/to be black
L2-0237,很,很,hěn,Adv,very
L2-0238,紅,红,hóng,N/Vs,red/to be red
L2-0239,紅包,红包,hóngbāo,N,red envelope containing a money gift
L2-0240,紅茶,红茶,hóngchá,N,black tea
L2-0241,紅綠燈,红绿灯,hónglùdēng,N,traffic light
L2-0242,後面,后面,hòumiàn,N,back
L2-0243,後來,后来,hòulái,N,"afterwards, later on"
L2-0244,護士,护士,hùshì,N,(hospital) nurse
L2-0245,花,花,huā,N,flower
L2-0245,花兒,花儿,huār,N,flower
L2-0246,花園,花园,huāyuán,N,flower garden
L2-0247,滑雪,滑雪,huáxuě,V,to ski
L2-0248,畫,画,huà,N,"picture, drawing"
L2-0249,畫家,画家,huàjiā,N,a painter (as in an artist)
L2-0250,壞,坏,huài,Vs,to be bad
L2-0251,換,换,huàn,V,to change
L2-0252,黃,黄,huáng,N/Vs,yellow/to be yellow
L2-0253,歡迎,欢迎,huānyíng,V/Vs,welcome
L2-0254,回,回,huí,V,to return
L2-0255,回答,回答,huídá,V,answer
L2-0256,回家,回家,huíjiā,V,return home
L2-0257,回來,回来,huílái,V,"to return, to come back"
L2-0258,回去,回去,huíqù,V,"to leave, to go back"
L2-0259,會,会,huì,Vs,"can, be able to, be good at, be skillful in"
L2-0260,活,活,huó,Vs,"live, save (sb.'s life)"
L2-0261,活動,活动,huódòng,N,activity
L2-0262,火,火,huǒ,N,fire
L2-0263,火車,火车,huǒchē,N,train
L2-0264,或,或,huò,Conj,"or, either or"
L2-0265,或是,或是,huòshì,Conj,"or, perhaps"
L2-0266,機會,机会,jīhuì,N,"chance, opportunity"
L2-0267,機場,机场,jīchǎng,N,airport
L2-0268,幾,几,jǐ,,"a few, several; how many"
L2-0269,寄,寄,jì,V,to mail
L2-0270,記,记,jì,V,"to record, to write, to jot down"
L2-0271,計程車,计程车,jìchéngchē,N,taxi
L2-0272,計畫,计划,jìhuà,N/V,"plan, project, program/to plan, to map out"
L2-0273,加,加,jiā,V,to add to
L2-0274,家,家,jiā,N,"home, family"
L2-0275,家庭,家庭,jiātíng,N,"family, household"
L2-0276,間,间,jiān,M,container measure word for houses or other buildings.
L2-0277,簡單,简单,jiǎndān,Vs,"to be simple, uncomplicated"
L2-0278,件,件,jiàn,M,individual measure word for clothes etc
L2-0279,件,件,jiàn,M,"individual measure word for furniture, jewelry etc"
L2-0280,件,件,jiàn,M,"individual measure word for affairs, incidents etc"
L2-0281,見,见,jiàn,V,"to see, to meet"
L2-0282,見面,见面,jiànmiàn,V,"to meet sb, to see sb"
L2-0283,健康,健康,jiànkāng,Vs,"to be healthy, in good physical condition; health"
L2-0284,講,讲,jiǎng,V,"to speak, explain"
L2-0285,講話,讲话,jiǎnghuà,V,"speak, talk, address"
L2-0286,交,交,jiāo,V,"hand over, deliver"
L2-0287,腳,脚,jiǎo,N,foot
L2-0288,腳踏車,脚踏车,jiǎotàchē,N,bicycle
L2-0289,餃子,饺子,jiǎozi,N,Chinese dumpling
L2-0289,餃,饺,jiǎo,N,Chinese dumpling
L2-0290,叫,叫,jiào,V/Vs,"to be called, to call"
L2-0291,教,教,jiāo,V,to teach
L2-0292,教室,教室,jiàoshì,N,classroom
L2-0293,接,接,jiē,V,"to receive, to meet, to come into contact with"
L2-0293,接到,接到,jiēdào,V,"to receive, to meet, to come into contact with"
L2-0294,結婚,结婚,jiéhūn,V,"to marry, to get married"
L2-0295,節目,节目,jiémù,N,"program, events (of entertainment, a program etc)"
L2-0296,姐姐,姐姐,jiějie,N,elder sister
L2-0297,解決,解决,jiějué,V,"to resolve, settle"
L2-0298,借,借,jiè,V,"to borrow, to lend"
L2-0299,介紹,介绍,jièshào,V,"to introduce, to suggest"
L2-0300,斤,斤,jīn,M,A unit of weight
L2-0301,今年,今年,jīnnián,N,this year
L2-0302,今天,今天,jīntiān,N,today
L2-0303,警察,警察,jǐngchá,N,police officer
L2-0304,緊張,紧张,jǐnzhāng,Vs,"to be nervous, to be tense"
L2-0305,近,近,jìn,Vs,to be near
L2-0306,進,进,jìn,V,"move forward, enter"
L2-0307,進步,进步,jìnbù,Vs,progress; to improve
L2-0308,進來,进来,jìnlái,V,come in
L2-0309,進去,进去,jìnqù,V,go in
L2-0310,經過,经过,jīngguò,V,"to pass by, to pass through"
L2-0311,九,九,jiǔ,,nine
L2-0312,久,久,jiǔ,Vs,to be a long time
L2-0313,酒,酒,jiǔ,N,wine or liquor
L2-0314,就,就,jiù,Adv,"just, exactly, only; then, right away; (indicating immediacy)"
L2-0315,舊,旧,jiù,Vs,"to be old, to be used"
L2-0316,就要,就要,jiùyào,Adv,"soon, in no time"
L2-0317,句子,句子,jùzi,N,sentence
L2-0318,覺得,觉得,juéde,Vs,"to feel, to think, to consider"
L2-0319,決定,决定,juédìng,V,to decide
L2-0320,咖啡,咖啡,kāfēi,N,coffee
L2-0321,卡片,卡片,kǎpiàn,N,card
L2-0322,開,开,kāi,V,"to drive, to open, to turn on"
L2-0323,開車,开车,kāichē,V,to drive a car
L2-0324,開始,开始,kāishǐ,V/Vs,"to start, to begin"
L2-0325,開水,开水,kāishuǐ,N,boiling/boiled water
L2-0326,開心,开心,kāixīn,Vs,"feel happy, rejoice"
L2-0327,開學,开学,kāixué,Vs,"start school, begin term"
L2-0328,烤,烤,kǎo,V,"to roast, to toast, to bake"
L2-0329,考試,考试,kǎoshì,N/V,"test, exam/to take a test"
L2-0330,看,看,kàn,V,"to watch, to read, to look at"
L2-0331,看到,看到,kàndào,V,to see
L2-0332,看見,看见,kànjiàn,V,to see
L2-0333,棵,棵,kē,M,individual measure word for plants and vegetable.
L2-0334,科學,科学,kēxué,N,science
L2-0335,渴,渴,kě,Vs,to be thirsty
L2-0336,可愛,可爱,kě'ài,Vs,"to be lovable, likeable, adorable, cute"
L2-0337,可樂,可乐,kělè,N,cola
L2-0338,可能,可能,kěnéng,Adv,"probably, maybe"
L2-0339,可是,可是,kěshì,Conj,"but, however"
L2-0340,可以,可以,kěyǐ,Adv,"can, may, be permitted"
L2-0341,課,课,kè,N,class
L2-0342,課本,课本,kèběn,N,textbook
L2-0343,客氣,客气,kèqì,Vs,to be polite
L2-0344,客人,客人,kèrén,N,"guest, visitor"
L2-0345,客廳,客厅,kètīng,N,living room
L2-0346,課文,课文,kèwén,N,text in a school book
L2-0347,空氣,空气,kōngqì,N,air
L2-0348,口,口,kǒu,M,"Mouthful, measure word for things kept in the mouth"
L2-0349,口,口,kǒu,M,measure word for people
L2-0350,哭,哭,kū,V,"to cry, to weep"
L2-0351,苦,苦,kǔ,Vs,"to be toilsome, hard; sad; bitter / toil, hardship"
L2-0352,褲子,裤子,kùzi,N,"trousers, pants"
L2-0352,褲,裤,kù,N,"trousers, pants"
L2-0353,快,快,kuài,Adv/Vs,quickly/to be fast
L2-0354,塊,块,kuài,M,partial measure word for lumps of foodstuff.
L2-0355,塊,块,kuài,M,individual measure word for a solid substance with a regular shape.
L2-0356,塊,块,kuài,M,individual measure word for Chinese currency.
L2-0357,筷子,筷子,kuàizi,N,chopsticks
L2-0357,筷,筷,kuài,N,chopsticks
L2-0358,快樂,快乐,kuàilè,Vs,to be happy
L2-0359,拉,拉,lā,V,"to pull, to tug"
L2-0360,來,来,lái,V,to come
L2-0361,藍,蓝,lán,N/Vs,blue/to be blue
L2-0362,籃球,篮球,lánqiú,N,basketball
L2-0363,老,老,lǎo,Vs,"old, aged"
L2-0364,老人,老人,lǎorén,N,old man/woman
L2-0365,老師,老师,lǎoshī,N,teacher
L2-0366,了,了,le,,often used after stative verbs
L2-0367,累,累,lèi,Vs,to be tired
L2-0368,冷,冷,lěng,Vs,to be cold
L2-0369,冷氣,冷气,lěngqì,N,air conditioning; cold air
L2-0369,冷氣機,冷气机,lěngqìjī,N,air conditioning; cold air
L2-0370,離,离,lí,V,"be away from, apart from, separated from"
L2-0371,離開,离开,líkāi,V,to leave
L2-0372,裡,里,lǐ,N,inside
L2-0373,裡,里,lǐ,N,inside
L2-0373,裡面,里面,lǐmiàn,N,inside
L2-0374,裡邊,里边,lǐbiān,N,"interior, inside"
L2-0374,裡邊兒,里边儿,lǐbiānr,N,"interior, inside"
L2-0375,禮物,礼物,lǐwù,N,"present, gift"
L2-0376,臉,脸,liǎn,N,face
L2-0377,練習,练习,liànxí,V,"to practice, to drill/practice, exercise"
L2-0378,涼,凉,liáng,Vs,to be cool
L2-0379,涼快,凉快,liángkuài,Vs,to be (pleasantly) cool
L2-0380,兩,两,liǎng,,two
L2-0381,輛,辆,liàng,M,measure word for any conveyance etc
L2-0382,亮,亮,liàng,Vs,"to be sunny, to be bright"
L2-0383,聊天,聊天,liáotiān,V,to chat/chatting
L2-0383,聊天兒,聊天儿,liáotiānr,V,to chat/chatting
L2-0384,零,零,líng,,zero
L2-0385,留,留,liú,V,"to leave (message, thing etc), to stay, to remain"
L2-0386,六,六,liù,,six
L2-0387,樓,楼,lóu,M/N,measure word for floor or story
L2-0388,路,路,lù,N,road
L2-0389,路上,路上,lùshàng,N,on the road
L2-0390,亂,乱,luàn,Vs,to be messy
L2-0391,旅行,旅行,lǚxíng,V,"to travel, to take a trip"
L2-0392,旅遊,旅游,lǚyóu,V,travel
L2-0393,綠,绿,lǜ,N,"green, to be green"
L2-0394,嗎,吗,ma,,a question particle
L2-0395,媽媽,妈妈,māma,N,mother
L2-0396,馬,马,mǎ,N,horse
L2-0397,馬上,马上,mǎshàng,Adv,immediately
L2-0398,麻煩,麻烦,máfán,N/Vs,"an on annoyance, troublesome/to be annoyed; to bother"
L2-0399,買,买,mǎi,V,tp buy
L2-0400,賣,卖,mài,V,to sell
L2-0401,慢,慢,màn,Vs,to be slow; slowly
L2-0402,慢慢地,慢慢地,mànmànde,Adv,slowly; gradually
L2-0403,忙,忙,máng,Vs,to be busy
L2-0404,貓,猫,māo,N,cat
L2-0405,毛,毛,máo,M,one-tenth of a yuan
L2-0406,毛衣,毛衣,máoyī,N,sweater
L2-0407,帽子,帽子,màozi,N,"hat, cap, headgear"
L2-0407,帽,帽,mào,N,"hat, cap, headgear"
L2-0408,沒,没,méi,Adv,not (have)
L2-0409,沒關係,没关系,méiguānxì,Vs,"no problem, never mind, it doesn' t matter"
L2-0410,沒問題,没问题,méiwèntí,Vs,no problem
L2-0411,沒有,没有,méiyǒu,Vs,"did not, have not"
L2-0412,每,每,měi,,every
L2-0413,美,美,měi,Vs,to be beautiful
L2-0414,美國,美国,Měiguó,N,"U.S.A., American"
L2-0415,美麗,美丽,měilì,Vs,beautiful
L2-0416,妹妹,妹妹,mèimei,N,younger sister
L2-0417,門,门,mén,N,"door, gate"
L2-0418,門口,门口,ménkǒu,N,"entrance, doorway"
L2-0419,米,米,mǐ,N,uncooked rice
L2-0420,麵,面,miàn,N,"flour, dough, noodle"
L2-0421,麵包,面包,miànbāo,N,bread
L2-0422,麵包店,面包店,miànbāodiàn,N,bakery
L2-0423,明年,明年,míngnián,N,next year
L2-0424,明天,明天,míngtiān,N,tomorrow
L2-0425,名字,名字,míngzì,N,"full name, given name"
L2-0426,摩托車,摩托车,mótuōchē,N,"motorcycle, motor scooter"
L2-0427,木,木,mù,N,"wood, log, timber"
L2-0427,木頭,木头,mùtou,N,"wood, log, timber"
L2-0428,拿,拿,ná,V,"to bring, to carry (in one's, or with one's hand)"
L2-0429,哪,哪,nǎ,,which
L2-0430,哪兒,哪儿,nǎr,N,where
L2-0431,哪裡,哪里,nǎlǐ,N,where
L2-0432,那,那,nà,Conj,that
L2-0433,那邊,那边,nàbiān,N,"there, over there"
L2-0434,那兒,那儿,nàr,N,there
L2-0435,那裡,那里,nàlǐ,N,there
L2-0436,那麼,那么,nàme,Adv/Conj,"well, in that case/like that, in that way"
L2-0437,奶奶,奶奶,nǎinai,N,"grandma, grandmother (father's mother)"
L2-0438,難,难,nán,Vs,to be difficult
L2-0439,南,南,nán,N,south
L2-0439,南邊,南边,nánbiān,N,south
L2-0440,男孩,男孩,nánhái,N,boy
L2-0440,男孩兒,男孩儿,nánháir,N,boy
L2-0440,男孩子,男孩子,nánháizi,N,boy
L2-0441,難過,难过,nánguò,V,"to be sad, to be distressed"
L2-0442,呢,呢,ne,,a question particle / a particle indicating the situation or state of affairs is being sustain
L2-0443,你,你,nǐ,N,you
L2-0443,你們,你们,nǐmen,N,you
L2-0444,能,能,néng,Adv,"can, be physically able to"
L2-0445,年,年,nián,M,A year of
L2-0446,年紀,年纪,niánjì,N,age
L2-0447,年輕,年轻,niánqīng,Vs,to be young
L2-0448,念,念,niàn,V,"to read aloud, to study"
L2-0449,鳥,鸟,niǎo,N,bird
L2-0450,您,您,nín,N,you (formal usage)
L2-0451,牛奶,牛奶,niúnǎi,N,cow's milk
L2-0452,女孩,女孩,nǚhái,N,girl
L2-0452,女孩兒,女孩儿,nǚháir,N,girl
L2-0452,女孩子,女孩子,nǚháizi,N,girl
L2-0453,努力,努力,nǔlì,Vs,"make great effort, try hard"
L2-0454,暖和,暖和,nuǎnhuo,Vs,to be warm
L2-0455,爬,爬,pá,V,"to climb, to crawl"
L2-0456,爬山,爬山,páshān,V,"to climb a mountain, to hike on hills"
L2-0457,怕,怕,pà,Vs,to fear
L2-0458,拍,拍,pāi,V,"to clap, beat, pat; to take a photo, shoot a film"
L2-0459,盤,盘,pán,M,container measure word for the contents of a plate.
L2-0460,盤子,盘子,pánzi,N,plate
L2-0461,旁邊,旁边,pángbiān,N,"side, by the side of, near by"
L2-0461,旁邊兒,旁边儿,pángbiānr,N,"side, by the side of, near by"
L2-0462,胖,胖,pàng,Vs,to be fat
