ID,Traditional,Simplified,Pinyin,POS,Meaning,Category,Subcategory,Variants
L1-015,朋友,朋友,péngyǒu/péngyou,N,friend,人物,人物,"[{""Traditional"": ""朋友"", ""Simplified"": ""朋友"", ""Pinyin"": ""péngyǒu""}, {""Traditional"": ""朋友"", ""Simplified"": ""朋友"", ""Pinyin"": ""péngyou""}]"
L1-016,家人,家人,jiārén,N,family members,人物,家庭,
L1-017,哥(哥),哥(哥),gē(ge),N,elder brother,人物,家庭,"[{""Traditional"": ""哥哥"", ""Simplified"": ""哥哥"", ""Pinyin"": ""gēge""}, {""Traditional"": ""哥"", ""Simplified"": ""哥"", ""Pinyin"": ""gē""}]"
L1-018,姊(姊),姊(姊),jiě(jie),N,elder sister,人物,家庭,"[{""Traditional"": ""姊姊"", ""Simplified"": ""姊姊"", ""Pinyin"": ""jiějie""}, {""Traditional"": ""姊"", ""Simplified"": ""姊"", ""Pinyin"": ""jiě""}]"
L1-019,弟(弟),弟(弟),dì(di),N,younger brother,人物,家庭,"[{""Traditional"": ""弟弟"", ""Simplified"": ""弟弟"", ""Pinyin"": ""dìdi""}, {""Traditional"": ""弟"", ""Simplified"": ""弟"", ""Pinyin"": ""dì""}]"
L1-020,妹(妹),妹(妹),mèi(mei),N,younger sister,人物,家庭,"[{""Traditional"": ""妹"", ""Simplified"": ""妹"", ""Pinyin"": ""mèi""}, {""Traditional"": ""妹妹"", ""Simplified"": ""妹妹"", ""Pinyin"": ""mèimei""}]"
L1-021,爸(爸),爸(爸),bà(ba),N,father,人物,家庭,"[{""Traditional"": ""爸爸"", ""Simplified"": ""爸爸"", ""Pinyin"": ""bàba""}, {""Traditional"": ""爸"", ""Simplified"": ""爸"", ""Pinyin"": ""bà""}]"
L1-022,媽(媽),妈(妈),mā(ma),N,mother,人物,家庭,"[{""Traditional"": ""媽媽"", ""Simplified"": ""妈妈"", ""Pinyin"": ""māma""}, {""Traditional"": ""媽"", ""Simplified"": ""妈"", ""Pinyin"": ""mā""}]"
L1-023,爺爺,爷爷,yéye,N,grandfather,人物,家庭,
L1-024,奶奶,奶奶,nǎinai,N,grandmother,人物,家庭,
L1-025,阿姨,阿姨,āyí,N,aunt,人物,家庭,
L1-026,兒(子),儿(子),ér(zi),N,son,人物,家庭,"[{""Traditional"": ""兒子"", ""Simplified"": ""儿子"", ""Pinyin"": ""érzi""}, {""Traditional"": ""兒"", ""Simplified"": ""儿"", ""Pinyin"": ""ér""}]"
L1-027,女兒,女儿,nǚ'ér,N,daughter,人物,家庭,
L1-028,娃(娃),娃(娃),wá(wa),N,baby; doll,人物,家庭,"[{""Traditional"": ""娃"", ""Simplified"": ""娃"", ""Pinyin"": ""wá""}, {""Traditional"": ""娃娃"", ""Simplified"": ""娃娃"", ""Pinyin"": ""wáwa""}]"
L1-029,大人,大人,dàrén/dàren,N,adult,人物,家庭,"[{""Traditional"": ""大人"", ""Simplified"": ""大人"", ""Pinyin"": ""dàrén""}, {""Traditional"": ""大人"", ""Simplified"": ""大人"", ""Pinyin"": ""dàren""}]"
L1-030,小孩子,小孩子,xiǎoháizi,N,"child, kid",人物,家庭,
L1-031,小朋友,小朋友,xiǎopéngyǒu,N,"child, kid",人物,家庭,
L1-032,身體,身体,shēntǐ,N,body,人物,身體部位,
L1-033,頭,头,tóu,N,head,人物,身體部位,
L1-034,頭髮,头发,tóufǎ/toufa,N,hair,人物,身體部位,"[{""Traditional"": ""頭髮"", ""Simplified"": ""头发"", ""Pinyin"": ""tóufǎ""}, {""Traditional"": ""頭髮"", ""Simplified"": ""头发"", ""Pinyin"": ""toufa""}]"
L1-035,毛,毛,máo,N,hair; fur,人物,身體部位,
L1-036,臉,脸,liǎn,N,face,人物,身體部位,
L1-037,眼睛,眼睛,yǎnjing,N,eye,人物,身體部位,
L1-038,耳朵,耳朵,ěrduo,N,ear,人物,身體部位,
L1-039,鼻(子),鼻(子),bí(zi),N,nose,人物,身體部位,"[{""Traditional"": ""鼻子"", ""Simplified"": ""鼻子"", ""Pinyin"": ""bízi""}, {""Traditional"": ""鼻"", ""Simplified"": ""鼻"", ""Pinyin"": ""bí""}]"
L1-040,口,口,kǒu,N/M,mouth; measure word for a bite,人物,身體部位,
L1-041,嘴(巴),嘴(巴),zuǐ(ba),N,mouth,人物,身體部位,"[{""Traditional"": ""嘴"", ""Simplified"": ""嘴"", ""Pinyin"": ""zuǐ""}, {""Traditional"": ""嘴巴"", ""Simplified"": ""嘴巴"", ""Pinyin"": ""zuǐba""}]"
L1-042,牙(齒),牙(齿),yá(chǐ),N,tooth,人物,身體部位,"[{""Traditional"": ""牙"", ""Simplified"": ""牙"", ""Pinyin"": ""yá""}, {""Traditional"": ""牙齒"", ""Simplified"": ""牙齿"", ""Pinyin"": ""yáchǐ""}]"
L1-043,肚(子),肚(子),dù(zi),N,belly,人物,身體部位,"[{""Traditional"": ""肚子"", ""Simplified"": ""肚子"", ""Pinyin"": ""dùzi""}, {""Traditional"": ""肚"", ""Simplified"": ""肚"", ""Pinyin"": ""dù""}]"
L1-044,手,手,shǒu,N,hand,人物,身體部位,
L1-045,手指,手指,shǒuzhǐ,N,finger,人物,身體部位,
L1-046,腳,脚,jiǎo,N,"foot, leg",人物,身體部位,
L1-047,腿,腿,tuǐ,N,leg,人物,身體部位,
L1-048,大便,大便,dàbiàn,N/V,(to) poo,人物,身體動作,
L1-049,洗澡,洗澡,xǐzǎo,V,to take a bath,人物,身體動作,
L1-050,爬,爬,pá,V,to crawl; to climb,人物,身體動作,
L1-051,睡/睡覺,睡/睡觉,shuì/shuìjiào,V,to sleep,人物,身體動作,"[{""Traditional"": ""睡"", ""Simplified"": ""睡"", ""Pinyin"": ""shuì""}, {""Traditional"": ""睡覺"", ""Simplified"": ""睡觉"", ""Pinyin"": ""shuìjiào""}]"
L1-052,拿,拿,ná,V,to take,人物,手部動作,
L1-053,放,放,fàng,V,to put,人物,手部動作,
L1-054,打,打,dǎ,V,to hit; to play (sports and drums),人物,手部動作,
L1-055,拍,拍,pāi,V,to clap; to pat; to bounce,人物,手部動作,
L1-056,做,做,zuò,V,"to make, to do",人物,手部動作,
L1-057,站,站,zhàn,V,to stand,人物,腳部動作,
L1-058,坐,坐,zuò,V,to sit; to travel by (bus etc),人物,腳部動作,
L1-059,走,走,zǒu,V,to walk,人物,腳部動作,
L1-060,跑,跑,pǎo,V,to run,人物,腳部動作,
L1-061,看(見),看(见),kàn(jian),V,"to see, to look at, to watch",人物,眼部動作,"[{""Traditional"": ""看"", ""Simplified"": ""看"", ""Pinyin"": ""kàn""}, {""Traditional"": ""看見"", ""Simplified"": ""看见"", ""Pinyin"": ""kànjian""}]"
L1-062,說,说,shuō,V,"to speak, to talk, to say",人物,口部動作,
L1-063,聽(見),听(见),tīng(jiàn),V,"to listen, to hear",人物,口部動作,"[{""Traditional"": ""聽"", ""Simplified"": ""听"", ""Pinyin"": ""tīng""}, {""Traditional"": ""聽見"", ""Simplified"": ""听见"", ""Pinyin"": ""tīngjiàn""}]"
L1-064,叫,叫,jiào,V,to call; to ask,人物,口部動作,
L1-065,問,问,wèn,V,to ask,人物,口部動作,
L1-066,哈,哈,hā,Ptc,particle used for imitating laughters,人物,口部動作,
L1-067,笑,笑,xiào,V,"to smile, to laugh",人物,心理活動,
L1-068,哭,哭,kū,V,"to cry, to weep",人物,心理活動,
L1-069,快樂,快乐,kuàilè,Vs,happy,人物,心理活動,
L1-070,害怕,害怕,hàipà,Vs,"afraid, scared",人物,心理活動,
L1-071,可怕,可怕,kěpà,Vs,horrible,人物,心理活動,
L1-072,累,累,lèi,Vs,"tired, weary",人物,心理活動,
L1-073,痛,痛,tòng,Vs,to ache,人物,心理活動,
L1-074,怕,怕,pà,Vs,"afraid, scared",人物,心理活動,
L1-075,愛,爱,ài,Vs/N,to love,人物,心理活動,
L1-076,喜歡,喜欢,xǐhuān/xǐhuan,Vs,to like,人物,心理活動,"[{""Traditional"": ""喜歡"", ""Simplified"": ""喜欢"", ""Pinyin"": ""xǐhuān""}, {""Traditional"": ""喜歡"", ""Simplified"": ""喜欢"", ""Pinyin"": ""xǐhuan""}]"
L1-077,討厭,讨厌,tǎoyàn,Vs,to hate,人物,心理活動,
L1-078,覺得,觉得,juéde,V,to feel,人物,心理活動,
L1-079,想,想,xiǎng,V,to think,人物,心理活動,
L1-080,知道,知道,zhīdao,V,to know,人物,心理活動,
L1-081,意思,意思,yìsi,N,meaning,人物,心理活動,
L1-082,胖,胖,pàng,Vs,fat,人物,人格特質,
L1-083,瘦,瘦,shòu,Vs,thin,人物,人格特質,
L1-084,老,老,lǎo,Vs,old,人物,人格特質,
L1-085,美,美,měi,Vs,"beautiful, pretty",人物,人格特質,
L1-086,乖,乖,guāi,Vs,well-behaved,人物,人格特質,
L1-087,可愛,可爱,kě'ài,Vs,"cute, lovely",人物,人格特質,
L1-088,漂亮,漂亮,piàoliang,Vs,"beautiful, pretty",人物,人格特質,
L1-089,好像,好像,hǎoxiàng,Adv,"seem, be like",人物,人格特質,
L1-090,工人,工人,gōngrén,N,worker,人物,職業,
L1-091,老師,老师,lǎoshī,N,teacher,人物,職業,
L1-092,學生,学生,xuéshēng,N,student,人物,職業,
L1-093,醫生,医生,yīshēng,N,doctor,人物,職業,
L1-094,警察,警察,jǐngchá,N,police officer,人物,職業,
L1-095,護士,护士,hùshì/hùshi,N,nurse,人物,職業,"[{""Traditional"": ""護士"", ""Simplified"": ""护士"", ""Pinyin"": ""hùshì""}, {""Traditional"": ""護士"", ""Simplified"": ""护士"", ""Pinyin"": ""hùshi""}]"
L1-096,上班,上班,shàngbān,V,to go to work,人物,職業,
L1-097,工作,工作,gōngzuò,V/N,(to) work,人物,職業,
L1-098,忙,忙,máng,Vs,"hurry, hasten",人物,職業,
L1-099,零,零,líng,Num,zero,數量,數字,
L1-100,一,一,yī,Num,one,數量,數字,
L1-101,二,二,èr,Num,two,數量,數字,
L1-102,兩,两,liǎng,Num,two,數量,數字,
L1-103,三,三,sān,Num,three,數量,數字,
L1-104,四,四,sì,Num,four,數量,數字,
L1-105,五,五,wǔ,Num,five,數量,數字,
L1-106,六,六,liù,Num,six,數量,數字,
L1-107,七,七,qī,Num,seven,數量,數字,
L1-108,八,八,bā,Num,eight,數量,數字,
L1-109,九,九,jiǔ,Num,nine,數量,數字,
L1-110,十,十,shí,Num,ten,數量,數字,
L1-111,百,百,bǎi,Num,hundred,數量,數字,
L1-112,每,每,měi,Det,every,數量,數量,
L1-113,多,多,duō,Vs,a lot,數量,數量,
L1-114,少,少,shǎo,Vs,"few, little",數量,數量,
L1-115,數,数,shǔ,V,to count,數量,數量,
L1-116,剩下,剩下,shèngxià,V,to remain,數量,數量,
L1-117,歲,岁,suì,N,"age, year old",數量,數量,
L1-118,一起,一起,yīqǐ,Adv,together,數量,數量,
L1-119,本,本,běn,M,individual measure word for books or magazines etc,數量,數量,
L1-120,頁,页,yè,N/M,page; partial measure word for one side of a book or magazine,數量,數量,
L1-121,次,次,cì,M,measure word for the number of repetitions in a given period of time,數量,數量,
L1-122,種,种,zhǒng/zhòng,M/V,collective measure word for things of the same kind; to grow (plants),數量,數量,"[{""Traditional"": ""種"", ""Simplified"": ""种"", ""Pinyin"": ""zhǒng""}, {""Traditional"": ""種"", ""Simplified"": ""种"", ""Pinyin"": ""zhòng""}]"
L1-123,朵,朵,duǒ,M,individual measure word for flowers or clouds,數量,數量,
L1-124,塊,块,kuài,M,"partial measure word for lumps of foodstuff, for regular-shaped products, and for chinese currency",數量,數量,
L1-125,個,个,ge,M,general measure word for individuals,數量,數量,
L1-126,隻,只,zhī,M,measre word for one of the symetrical limbs or organs of people or animals and for insects or animals,數量,數量,
L1-127,元,元,yuán,N,dollar,數量,金錢,
L1-128,錢,钱,qián,N,money,數量,金錢,
L1-129,買,买,mǎi,V,to buy,數量,金錢,
L1-130,多少,多少,duōshǎo,N,how much,數量,金錢,
L1-131,最,最,zuì,Adv,most,程度,程度,
L1-132,好,好,hǎo,Adv/Vs,"very, quite; good",程度,程度,
L1-133,太,太,tài,Adv,"too, extremely, very",程度,程度,
L1-134,很,很,hěn,Adv,"very, quite, awfully",程度,程度,
L1-135,真,真,zhēn,Adv,"really, truly",程度,程度,
L1-136,非常,非常,fēicháng,Adv,"specially, very, extremely",程度,程度,
L1-137,一樣,一样,yīyàng,Adv,same,程度,程度,
L1-138,年,年,nián,N,year,時間,年月日星期,
L1-139,月,月,yuè,N,month,時間,年月日星期,
L1-140,日,日,rì,N,day,時間,年月日星期,
L1-141,號,号,hào,N,number,時間,年月日星期,
L1-142,天,天,tiān,N,day,時間,年月日星期,
L1-143,星期,星期,xīngqí/xīngqī,N,week,時間,年月日星期,"[{""Traditional"": ""星期"", ""Simplified"": ""星期"", ""Pinyin"": ""xīngqí""}, {""Traditional"": ""星期"", ""Simplified"": ""星期"", ""Pinyin"": ""xīngqī""}]"
L1-144,星期天/星期日,星期天/星期日,Xīngqítiān/Xīngqītiān/Xīngqírì/Xīngqīrì,N/Adv,Sunday,時間,年月日星期,"[{""Traditional"": ""星期天"", ""Simplified"": ""星期天"", ""Pinyin"": ""Xīngqítiān""}, {""Traditional"": ""星期天"", ""Simplified"": ""星期天"", ""Pinyin"": ""Xīngqītiān""}, {""Traditional"": ""星期日"", ""Simplified"": ""星期日"", ""Pinyin"": ""Xīngqírì""}, {""Traditional"": ""星期日"", ""Simplified"": ""星期日"", ""Pinyin"": ""Xīngqīrì""}]"
L1-145,今天,今天,jīntiān,N/Adv,today,時間,年月日星期,
L1-146,明天,明天,míngtiān,N/Adv,tomorrow,時間,年月日星期,
L1-147,昨天,昨天,zuótiān,N/Adv,yesterday,時間,年月日星期,
L1-148,假日,假日,jiàrì,N,holiday,時間,年月日星期,
L1-149,早,早,zǎo,Vs/Adv,early,時間,時間,
L1-150,先,先,xiān,Adv,"earlier, before",時間,時間,
L1-151,早上,早上,zǎoshang,N/Adv,morning,時間,時間,
L1-152,上午,上午,shàngwǔ,N/Adv,morning,時間,時間,
L1-153,中午,中午,zhōngwǔ,N/Adv,noon,時間,時間,
L1-154,下午,下午,xiàwǔ,N/Adv,afternoon,時間,時間,
L1-155,晚上,晚上,wǎnshang,N/Adv,"evening, night",時間,時間,
L1-156,現在,现在,xiànzài,Adv,now,時間,時間,
L1-157,開始,开始,kāishǐ,V,"to begin, to start",時間,時間,
L1-158,幾,几,jǐ,Det,several,時間,時間,
L1-159,點,点,diǎn,N,o'clock,時間,時間,
L1-160,分,分,fēn,N,minute,時間,時間,
L1-161,半,半,bàn,N,half an hour,時間,時間,
L1-162,一下子,一下子,yīxiàzi,Adv,in a short while,時間,時間,
L1-163,再,再,zài,Conj/Adv,again,時間,時間,
L1-164,就,就,jiù,Conj/Adv,then (refers to both time and cause-effect relationship),時間,時間,
L1-165,等,等,děng,V,to wait,時間,時間,
L1-166,快,快,kuài,Vs,"soon, quick, fast",時間,時間,
L1-167,著,着,zhe,Asp,aspect marker used to indicate events that are durative,時間,時間,
L1-168,了,了,le,Asp,aspect marker used to indicate events undergone a certain change of state,時間,時間,
L1-169,顏色,颜色,yánsè,N,color,形色,顏色,
L1-170,白色,白色,báisè,N,white,形色,顏色,
L1-171,黃色,黄色,huángsè,N,yellow,形色,顏色,
L1-172,黑色,黑色,hēisè,N,black,形色,顏色,
L1-173,綠色,绿色,lǜsè,N,green,形色,顏色,
L1-174,藍色,蓝色,lánsè,N,blue,形色,顏色,
L1-175,紅色,红色,hóngsè,N,red,形色,顏色,
L1-176,亮,亮,liàng,Vs,bright,形色,顏色,
L1-177,小,小,xiǎo,Vs,"small, little",形色,尺寸,
L1-178,大,大,dà,Vs,big,形色,尺寸,
L1-179,長,长,cháng/zhǎng,Vs/V,long; to grow,形色,尺寸,"[{""Traditional"": ""長"", ""Simplified"": ""长"", ""Pinyin"": ""cháng""}, {""Traditional"": ""長"", ""Simplified"": ""长"", ""Pinyin"": ""zhǎng""}]"
L1-180,高,高,gāo,Vs,high,形色,尺寸,
L1-181,短,短,duǎn,Vs,"short, brief",形色,尺寸,
L1-182,矮,矮,ǎi,Vs,short,形色,尺寸,
L1-183,圓/圓形,圆/圆形,yuán/yuánxíng,Vs/N,round; circle,形色,形狀,"[{""Traditional"": ""圓"", ""Simplified"": ""圆"", ""Pinyin"": ""yuán""}, {""Traditional"": ""圓形"", ""Simplified"": ""圆形"", ""Pinyin"": ""yuánxíng""}]"
L1-184,三角形,三角形,sānjiǎoxíng,N,triangle,形色,形狀,
L1-185,正方形,正方形,zhèngfāngxíng,N,square,形色,形狀,
L1-186,長方形,长方形,chángfāngxíng,N,rectangle,形色,形狀,
L1-187,衣服,衣服,yīfu,N,clothes,生活,衣物飾品,
L1-188,帽(子),帽(子),mào(zi),N,hat,生活,衣物飾品,"[{""Traditional"": ""帽子"", ""Simplified"": ""帽子"", ""Pinyin"": ""màozi""}, {""Traditional"": ""帽"", ""Simplified"": ""帽"", ""Pinyin"": ""mào""}]"
L1-189,毛衣,毛衣,máoyī,N,sweater,生活,衣物飾品,
L1-190,外套,外套,wàitào,N,coat,生活,衣物飾品,
L1-191,裙(子),裙(子),qún(zi),N,"skirt, petticoat",生活,衣物飾品,"[{""Traditional"": ""裙子"", ""Simplified"": ""裙子"", ""Pinyin"": ""qúnzi""}, {""Traditional"": ""裙"", ""Simplified"": ""裙"", ""Pinyin"": ""qún""}]"
L1-192,褲(子),裤(子),kù(zi),N,pants,生活,衣物飾品,"[{""Traditional"": ""褲子"", ""Simplified"": ""裤子"", ""Pinyin"": ""kùzi""}, {""Traditional"": ""褲"", ""Simplified"": ""裤"", ""Pinyin"": ""kù""}]"
L1-193,鞋(子),鞋(子),xié(zi),N,shoes,生活,衣物飾品,"[{""Traditional"": ""鞋子"", ""Simplified"": ""鞋子"", ""Pinyin"": ""xiézi""}, {""Traditional"": ""鞋"", ""Simplified"": ""鞋"", ""Pinyin"": ""xié""}]"
L1-194,襪(子),袜(子),wà(zi),N,socks,生活,衣物飾品,"[{""Traditional"": ""襪子"", ""Simplified"": ""袜子"", ""Pinyin"": ""wàzi""}, {""Traditional"": ""襪"", ""Simplified"": ""袜"", ""Pinyin"": ""wà""}]"
L1-195,皮包,皮包,píbāo,N,leather handbag,生活,衣物飾品,
L1-196,穿,穿,chuān,V,"to wear, to put on",生活,衣物飾品,
L1-197,戴,戴,dài,V,"to wear, to put on",生活,衣物飾品,
L1-198,門,门,mén,N,door,生活,居家用品,
L1-199,窗/窗戶,窗/窗户,chuāng/chuānghu,N,window,生活,居家用品,"[{""Traditional"": ""窗"", ""Simplified"": ""窗"", ""Pinyin"": ""chuāng""}, {""Traditional"": ""窗戶"", ""Simplified"": ""窗户"", ""Pinyin"": ""chuānghu""}]"
L1-200,衣櫃,衣柜,yīguì,N,closet,生活,居家用品,
L1-201,櫃(子),柜(子),guì(zi),N,cabinet,生活,居家用品,"[{""Traditional"": ""櫃子"", ""Simplified"": ""柜子"", ""Pinyin"": ""guìzi""}, {""Traditional"": ""櫃"", ""Simplified"": ""柜"", ""Pinyin"": ""guì""}]"
L1-202,床,床,chuáng,N,bed,生活,居家用品,
L1-203,燈,灯,dēng,N,lamp,生活,居家用品,
L1-204,桌(子),桌(子),zhuō(zi),N,table,生活,居家用品,"[{""Traditional"": ""桌子"", ""Simplified"": ""桌子"", ""Pinyin"": ""zhuōzi""}, {""Traditional"": ""桌"", ""Simplified"": ""桌"", ""Pinyin"": ""zhuō""}]"
L1-205,椅(子),椅(子),yǐ(zi),N,chair,生活,居家用品,"[{""Traditional"": ""椅子"", ""Simplified"": ""椅子"", ""Pinyin"": ""yǐzi""}, {""Traditional"": ""椅"", ""Simplified"": ""椅"", ""Pinyin"": ""yǐ""}]"
L1-206,冷氣,冷气,lěngqì,N,air conditioner,生活,居家用品,
L1-207,冰箱,冰箱,bīngxiāng,N,refrigerator,生活,居家用品,
L1-208,棉被,棉被,miánbèi,N,quilt,生活,居家用品,
L1-209,電話,电话,diànhuà,N,telephone,生活,居家用品,
L1-210,電視,电视,diànshì,N,"television, TV",生活,居家用品,
L1-211,電腦,电脑,diànnǎo,N,computer,生活,居家用品,
L1-212,洗衣機,洗衣机,xǐyījī,N,washing machine,生活,居家用品,
L1-213,刀(子),刀(子),dāo(zi),N,knife,生活,居家用品,"[{""Traditional"": ""刀子"", ""Simplified"": ""刀子"", ""Pinyin"": ""dāozi""}, {""Traditional"": ""刀"", ""Simplified"": ""刀"", ""Pinyin"": ""dāo""}]"
L1-214,叉子,叉子,chāzi,N,fork,生活,居家用品,
L1-215,杯(子),杯(子),bēi(zi),N/M,"cup, glass; a cup of",生活,居家用品,"[{""Traditional"": ""杯"", ""Simplified"": ""杯"", ""Pinyin"": ""bēi"", ""POS"": ""M""}, {""Traditional"": ""杯子"", ""Simplified"": ""杯子"", ""Pinyin"": ""bēizi"", ""POS"": ""N""}]"
L1-216,筷(子),筷(子),kuài(zi),N,chopsticks,生活,居家用品,"[{""Traditional"": ""筷子"", ""Simplified"": ""筷子"", ""Pinyin"": ""kuàizi""}, {""Traditional"": ""筷"", ""Simplified"": ""筷"", ""Pinyin"": ""kuài""}]"
L1-217,碗,碗,wǎn,N,bowl; measure word for servings of food,生活,居家用品,
L1-218,水壺,水壶,shuǐhú,N,"pitcher, kettle, canteen, water bottle",生活,居家用品,
L1-219,花瓶,花瓶,huāpíng,N,vase,生活,居家用品,
L1-220,手錶,手表,shǒubiǎo,N,watch,生活,居家用品,
L1-221,鐘,钟,zhōng,N,"bell, clock",生活,居家用品,
L1-222,傘/雨傘,伞/雨伞,sǎn/yǔsǎn,N,umbrella,生活,居家用品,"[{""Traditional"": ""傘"", ""Simplified"": ""伞"", ""Pinyin"": ""sǎn""}, {""Traditional"": ""雨傘"", ""Simplified"": ""雨伞"", ""Pinyin"": ""yǔsǎn""}]"
L1-223,照片,照片,zhàopiàn,N,"photo, picture",生活,居家用品,
L1-224,照相機/照像機,照相机/照像机,zhàoxiàngjī,N,camera,生活,居家用品,"[{""Traditional"": ""照相機"", ""Simplified"": ""照相机"", ""Pinyin"": ""zhàoxiàngjī""}, {""Traditional"": ""照像機"", ""Simplified"": ""照像机"", ""Pinyin"": ""zhàoxiàngjī""}]"
L1-225,新,新,xīn,Vs,new,生活,居家活動,
L1-226,髒,脏,zāng,Vs,dirty,生活,居家活動,
L1-227,破,破,pò,Vs,to break apart,生活,居家活動,
L1-228,洗,洗,xǐ,V,to wash,生活,居家活動,
L1-229,開/打開,开/打开,kāi/dǎkāi,V,to open,生活,居家活動,"[{""Traditional"": ""開"", ""Simplified"": ""开"", ""Pinyin"": ""kāi""}, {""Traditional"": ""打開"", ""Simplified"": ""打开"", ""Pinyin"": ""dǎkāi""}]"
L1-230,起床,起床,qǐchuáng,V,to get up,生活,居家活動,
L1-231,照相/照像,照相/照像,zhàoxiàng,V,"to take a picture, to take a photograph",生活,居家活動,"[{""Traditional"": ""照相"", ""Simplified"": ""照相"", ""Pinyin"": ""zhàoxiàng""}, {""Traditional"": ""照像"", ""Simplified"": ""照像"", ""Pinyin"": ""zhàoxiàng""}]"
L1-232,肉,肉,ròu,N,meat,生活,飲食,
L1-233,菜,菜,cài,N,dish; vegetable,生活,飲食,
L1-234,蛋,蛋,dàn,N,egg,生活,飲食,
L1-235,麵,面,miàn,N,noodles,生活,飲食,
L1-236,(米)飯,(米)饭,(mǐ) fàn,N,rice,生活,飲食,"[{""Traditional"": ""飯"", ""Simplified"": ""饭"", ""Pinyin"": ""fàn""}, {""Traditional"": ""米飯"", ""Simplified"": ""米饭"", ""Pinyin"": ""mǐfàn""}]"
L1-237,餃(子),饺(子),jiǎo(zi),N,dumplings,生活,飲食,"[{""Traditional"": ""餃子"", ""Simplified"": ""饺子"", ""Pinyin"": ""jiǎozi""}, {""Traditional"": ""餃"", ""Simplified"": ""饺"", ""Pinyin"": ""jiǎo""}]"
L1-238,湯,汤,tāng,N,soup,生活,飲食,
L1-239,漢堡,汉堡,hànbǎo,N,hamburger,生活,飲食,
L1-240,熱狗,热狗,règǒu,N,hot dog,生活,飲食,
L1-241,餅乾,饼干,bǐnggān,N,"biscuit, cracker, cookie",生活,飲食,
L1-242,蛋糕,蛋糕,dàngāo,N,cake,生活,飲食,
L1-243,麵包,面包,miànbāo,N,bread,生活,飲食,
L1-244,三明治,三明治,sānmíngzhì,N,sandwich,生活,飲食,
L1-245,冰淇淋,冰淇淋,bīngqílín,N,ice cream,生活,飲食,
L1-246,餐,餐,cān,N,meal,生活,飲食,
L1-247,飲料,饮料,yǐnliào,N,"drink, beverage",生活,飲食,
L1-248,茶,茶,chá,N,tea,生活,飲食,
L1-249,牛奶,牛奶,niúnǎi,N,milk,生活,飲食,
L1-250,可樂,可乐,kělè,N,coke,生活,飲食,
L1-251,汽水,汽水,qìshuǐ,N,soft drink,生活,飲食,
L1-252,果汁,果汁,guǒzhī,N,juice,生活,飲食,
L1-253,水果,水果,shuǐguǒ,N,fruit,生活,飲食,
L1-254,橘(子),橘(子),jú(zi),N,tangerine,生活,飲食,"[{""Traditional"": ""橘子"", ""Simplified"": ""橘子"", ""Pinyin"": ""júzi""}, {""Traditional"": ""橘"", ""Simplified"": ""橘"", ""Pinyin"": ""jú""}]"
L1-255,西瓜,西瓜,xīguā,N,watermelon,生活,飲食,
L1-256,柳橙,柳橙,liǔchéng,N,orange,生活,飲食,
L1-257,香蕉,香蕉,xiāngjiāo,N,banana,生活,飲食,
L1-258,草莓,草莓,cǎoméi,N,strawberry,生活,飲食,
